Genre,Words,Counts
western,town,1144
western,men,940
western,take,683
western,back,672
western,one,671
western,kill,636
western,man,577
western,ranch,564
western,horse,544
western,find,528
western,ride,523
western,killed,519
western,go,517
western,gang,515
western,return,502
western,two,495
western,get,489
western,gun,482
western,sheriff,478
western,tell,476
western,indian,473
western,shoot,470
western,father,470
western,brother,432
western,help,400
western,try,396
western,woman,394
western,gold,391
western,new,387
western,come,381
western,john,380
western,gene,376
western,train,368
western,friend,355
western,money,352
western,son,340
western,cattle,330
western,shot,324
western,make,321
western,way,319
western,also,312
western,later,311
western,escape,306
western,time,305
western,love,302
western,away,301
western,life,298
western,outlaw,297
western,old,293
western,wife,292
western,leave,289
western,war,281
western,see,279
western,fight,276
western,jim,273
western,give,270
western,order,265
western,saloon,265
western,dead,263
western,wagon,263
western,attack,261
western,meet,258
western,want,258
western,billy,258
western,daughter,256
western,posse,256
western,end,254
western,however,254
western,day,254
western,tom,254
western,home,251
western,run,251
western,arrives,249
western,turn,249
western,bill,249
western,army,247
western,land,245
western,decides,243
western,apache,239
western,plan,238
western,set,235
western,leaf,235
western,young,235
western,death,233
western,killing,226
western,fort,225
western,jack,224
western,wxyz,222
western,begin,219
western,three,219
western,night,218
western,offer,218
western,local,217
western,year,216
western,marshal,216
western,named,215
western,family,213
western,attempt,212
western,hand,211
western,texas,208
western,head,207
western,first,207
western,another,205
western,rancher,200
western,group,200
western,next,197
western,join,195
western,along,193
western,bank,191
western,west,190
western,refuse,190
western,soon,187
western,cowboy,186
western,robbery,184
western,know,184
western,ben,183
western,stop,182
western,boy,182
western,former,180
western,work,179
western,show,178
western,owner,178
western,joe,178
western,behind,178
western,kid,177
western,murder,176
western,wounded,175
western,well,174
western,mexico,171
western,city,170
western,becomes,168
western,force,167
western,jail,167
western,jeff,165
western,stagecoach,165
western,chief,164
western,soldier,164
western,johnny,164
western,meanwhile,163
western,james,163
western,cole,161
western,dan,160
western,mexican,159
western,fall,158
western,girl,158
western,learns,158
western,left,157
western,deputy,157
western,cavalry,154
western,territory,154
western,lead,152
western,american,152
western,morgan,152
western,fire,151
western,captain,149
western,george,149
western,job,148
western,’,147
western,house,147
western,martin,147
western,stay,146
western,camp,146
western,jake,146
western,u,145
western,rescue,144
western,would,143
western,sam,143
western,mine,142
western,child,141
western,say,141
western,bandit,138
western,rifle,138
western,leaving,138
western,discovers,138
western,asks,138
western,bob,138
western,officer,137
western,frank,137
western,husband,137
western,together,136
western,keep,136
western,eventually,132
western,save,131
western,led,131
western,finally,131
western,others,130
western,hired,130
western,battle,130
western,small,129
western,law,128
western,break,128
western,last,128
western,drive,128
western,shooting,128
western,mary,127
western,party,127
western,agrees,127
western,claim,127
western,state,126
western,call,126
comedy,get,7781
comedy,find,6400
comedy,go,6087
comedy,one,5716
comedy,take,5475
comedy,tell,5055
comedy,friend,5030
comedy,back,4843
comedy,love,4762
comedy,new,4575
comedy,two,4566
comedy,father,4387
comedy,make,4042
comedy,life,3959
comedy,day,3922
comedy,home,3886
comedy,time,3830
comedy,family,3666
comedy,house,3566
comedy,also,3558
comedy,try,3459
comedy,come,3422
comedy,meet,3309
comedy,end,3289
comedy,see,3265
comedy,later,3245
comedy,man,3242
comedy,film,3230
comedy,money,3230
comedy,however,3221
comedy,help,3131
comedy,return,3121
comedy,woman,2976
comedy,mother,2921
comedy,girl,2823
comedy,wife,2816
